dataset,source,task,n_nodes,n_features,n_classes,n_train,n_val,n_test,balanced_accuracy,precision,recall,f1,roc_auc,seconds
tolokers-2,GraphLand,binary_classification,11758,19,2,1175,1176,9407,0.5201615312256214,0.6832749298556169,0.5201615312256214,0.09314823107926556,0.7775980969894742,54.21096545550972
minesweeper,PyG,binary_classification,10000,7,2,5000,2500,2500,0.5,0.4,0.5,0.0,0.6112730000000001,6.784836367703974
tolokers,PyG,binary_classification,11758,10,2,5879,2939,2940,0.5250034568865246,0.6574015600197989,0.5250034568865246,0.11878453038674033,0.7746581071445032,33.77811332140118
